discussion_number,discussion_title,discussion_url,discussion_created_at,approved_at,planned_at,milestone_number,milestone_title,issue_numbers,issue_count,open_issue_count,closed_issue_count,pr_numbers,open_pr_count,merged_pr_count,first_pr_opened_at,last_pr_merged_at,latest_activity_at,status
42,[idea] Surface agent-running status in sidebar workspace rows,https://github.com/fairchild/workspaces/discussions/42,2026-03-11T02:03:10Z,,,,,,0,0,0,,0,0,,,2026-07-13T07:24:28Z,idea
43,[task] [idea][endorsed] Isolate intrusive CI jobs onto a Tart VM runner lane,https://github.com/fairchild/workspaces/discussions/43,2026-03-11T02:32:39Z,2026-03-12T01:08:40Z,2026-03-12T03:31:57Z,4,Isolate intrusive CI jobs onto a Tart VM runner lane,"61,62,63",3,0,3,,0,0,,,2026-05-10T20:22:00Z,stalled
44,[idea] Navigate from Activity tab events directly to the relevant repo/workspace,https://github.com/fairchild/workspaces/discussions/44,2026-03-11T03:25:12Z,,,,,,0,0,0,,0,0,,,2026-07-13T07:24:32Z,idea
52,[idea] Migrate NotificationCoordinator to @Environment DI,https://github.com/fairchild/workspaces/discussions/52,2026-03-11T14:25:40Z,,,,,,0,0,0,,0,0,,,2026-07-13T07:24:36Z,idea
104,[idea] Run agent script tests in CI on every .agents/ change,https://github.com/fairchild/workspaces/discussions/104,2026-03-15T03:08:49Z,,,,,,0,0,0,,0,0,,,2026-03-21T18:17:24Z,idea
105,[idea] Commit to pane-tree tiling as the primary multiplexing model,https://github.com/fairchild/workspaces/discussions/105,2026-03-15T16:11:21Z,2026-03-22T15:45:28Z,,,,,0,0,0,,0,0,,,2026-07-13T07:24:39Z,idea
109,[idea] Fix remote workspace identity before Lume work compounds the debt,https://github.com/fairchild/workspaces/discussions/109,2026-03-15T16:25:01Z,,,,,,0,0,0,,0,0,,,2026-07-13T07:24:42Z,idea
110,[idea][endorsed] Fix environment status color semantics in New Workspace sheet,https://github.com/fairchild/workspaces/discussions/110,2026-03-15T16:49:20Z,2026-03-16T07:50:42Z,2026-03-16T07:51:31Z,,,116,1,0,1,,0,0,,,2026-07-18T13:59:42Z,planned
111,[idea] Split release.yml into three jobs: build-sign-notarize → validate-artifact → publish,https://github.com/fairchild/workspaces/discussions/111,2026-03-15T20:46:59Z,,,,,,0,0,0,,0,0,,,2026-07-13T07:24:46Z,idea
112,[idea] Archive xcresult bundles from CI and surface test failure summaries,https://github.com/fairchild/workspaces/discussions/112,2026-03-16T01:29:43Z,,,,,,0,0,0,,0,0,,,2026-07-13T07:24:49Z,idea
195,[idea] [ops] Investigate performance regression,https://github.com/fairchild/workspaces/discussions/195,2026-03-23T14:00:14Z,,,,,,0,0,0,,0,0,,,2026-07-13T07:24:52Z,idea
327,"what do i need to do to have this an [Idea] discussion? [run-planner] 
I want it to run, but got 

S",https://github.com/fairchild/workspaces/discussions/327,2026-04-11T04:34:37Z,,,,,,0,0,0,,0,0,,,2026-07-13T07:25:29Z,idea
